date,orderid,id,order_time,side,symbol,account,order_shares,orderstatus,tif,exec_shares,exec_last_time,explicit_cxl_time,fill_rate,auto_cxl_time,cxl_time,hidden
2013-01-14 00:00:00.000,4606383320,jguber,1900-01-01 14:04:09.643,B,DELL,5AO05043,6000,UR OUT,DAY,0.0,,1900-01-01 14:04:09.978,0.0,,1900-01-01 14:04:09.978,False
2013-01-14 00:00:00.000,4606383323,jguber,1900-01-01 14:04:09.672,B,DELL,5AO05043,6000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:09.672,1900-01-01 14:04:09.672,True
2013-01-14 00:00:00.000,4606383325,jguber,1900-01-01 14:04:09.680,B,DELL,5AO05043,6000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:09.680,1900-01-01 14:04:09.680,True
2013-01-14 00:00:00.000,4606383327,jguber,1900-01-01 14:04:09.689,B,DELL,5AO05043,6000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:09.689,1900-01-01 14:04:09.689,True
2013-01-14 00:00:00.000,4606383329,jguber,1900-01-01 14:04:09.698,B,DELL,5AO05043,6000,UR OUT,DAY,0.0,,1900-01-01 14:04:09.977,0.0,,1900-01-01 14:04:09.977,False
2013-01-14 00:00:00.000,4606383330,jguber,1900-01-01 14:04:09.699,B,DELL,5AO05043,6000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:09.699,1900-01-01 14:04:09.699,True
2013-01-14 00:00:00.000,4606383332,jguber,1900-01-01 14:04:09.708,B,DELL,5AO05043,6000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:09.708,1900-01-01 14:04:09.708,True
2013-01-14 00:00:00.000,4606383334,jguber,1900-01-01 14:04:09.718,B,DELL,5AO05043,6000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:09.718,1900-01-01 14:04:09.718,True
2013-01-14 00:00:00.000,4606383336,jguber,1900-01-01 14:04:09.726,B,DELL,5AO05043,6000,UR OUT,DAY,0.0,,1900-01-01 14:04:09.977,0.0,,1900-01-01 14:04:09.977,False
2013-01-14 00:00:00.000,4606383337,jguber,1900-01-01 14:04:09.731,B,DELL,5AO05043,6000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:09.731,1900-01-01 14:04:09.731,True
